iter	Passed	Remaining
0	136	136725
1	137	68722
2	139	46200
3	141	35136
4	142	28353
5	143	23796
6	144	20467
7	145	18003
8	146	16113
9	147	14606
10	148	13369
11	149	12325
12	151	11481
13	152	10728
14	153	10082
15	154	9496
16	155	9007
17	156	8561
18	157	8143
19	158	7771
20	159	7432
21	160	7122
22	160	6832
23	161	6576
24	162	6341
25	163	6118
26	164	5910
27	164	5711
28	164	5524
29	165	5352
30	166	5196
31	166	5051
32	167	4910
33	168	4779
34	168	4652
35	169	4533
36	169	4420
37	170	4314
38	171	4214
39	171	4117
40	172	4028
41	172	3942
42	173	3859
43	173	3779
44	174	3702
45	175	3630
46	175	3560
47	176	3493
48	176	3428
49	177	3366
50	177	3306
51	178	3246
52	178	3190
53	179	3137
54	179	3089
55	180	3041
56	180	2992
57	181	2945
58	181	2900
59	182	2858
60	183	2818
61	183	2778
62	184	2741
63	184	2704
64	185	2669
65	186	2635
66	186	2600
67	187	2568
68	188	2537
69	188	2507
70	189	2477
71	189	2448
72	190	2419
73	191	2392
74	191	2365
75	192	2338
76	192	2311
77	193	2286
78	193	2261
79	194	2236
80	195	2212
81	195	2189
82	195	2164
83	196	2142
84	197	2120
85	197	2100
86	198	2079
87	198	2060
88	199	2041
89	200	2022
90	200	2003
91	201	1986
92	201	1968
93	202	1950
94	202	1932
95	203	1915
96	203	1898
97	204	1884
98	205	1869
99	206	1854
100	206	1838
101	207	1823
102	207	1808
103	208	1794
104	208	1779
105	209	1765
106	209	1751
107	210	1737
108	211	1725
109	211	1712
110	212	1700
111	212	1687
112	213	1674
113	213	1661
114	214	1649
115	214	1637
116	215	1625
117	215	1614
118	216	1603
119	217	1592
120	217	1581
121	218	1569
122	218	1559
123	219	1548
124	219	1538
125	220	1527
126	220	1517
127	221	1507
128	221	1497
129	222	1488
130	222	1478
131	223	1470
132	224	1460
133	224	1451
134	225	1442
135	225	1433
136	226	1425
137	226	1417
138	227	1408
139	227	1400
140	228	1392
141	229	1384
142	229	1376
143	230	1368
144	230	1360
145	231	1353
146	232	1346
147	232	1340
148	233	1333
149	233	1325
150	234	1318
151	235	1311
152	235	1304
153	236	1296
154	236	1289
155	236	1282
156	237	1275
157	238	1269
158	238	1262
159	239	1256
160	239	1248
161	240	1242
162	240	1235
163	241	1229
164	241	1222
165	242	1217
166	242	1211
167	243	1206
168	244	1200
169	244	1194
170	245	1189
171	245	1183
172	246	1177
173	246	1171
174	247	1165
175	247	1159
176	248	1154
177	248	1149
178	249	1144
179	249	1138
180	250	1133
181	250	1128
182	251	1123
183	252	1118
184	252	1113
185	253	1108
186	253	1104
187	254	1099
188	255	1094
189	255	1089
190	256	1084
191	256	1080
192	257	1075
193	257	1070
194	258	1065
195	258	1061
196	259	1057
197	259	1053
198	260	1048
199	261	1044
200	261	1039
201	261	1034
202	262	1030
203	262	1025
204	263	1021
205	263	1016
206	264	1012
207	264	1008
208	265	1003
209	265	999
210	266	995
211	266	992
212	267	988
213	268	984
214	268	980
215	269	976
216	269	972
217	270	969
218	270	965
219	271	961
220	271	958
221	272	954
222	273	951
223	273	947
224	274	943
225	274	940
226	275	936
227	275	933
228	276	930
229	276	926
230	277	923
231	277	919
232	278	916
233	278	912
234	279	909
235	279	905
236	280	902
237	280	899
238	281	896
239	282	893
240	282	889
241	282	886
242	283	882
243	283	879
244	284	876
245	284	872
246	285	869
247	285	866
248	286	862
249	286	860
250	287	857
251	287	854
252	288	851
253	288	848
254	289	845
255	289	842
256	290	838
257	290	835
258	291	832
259	291	829
260	292	826
261	292	823
262	292	820
263	293	817
264	293	815
265	294	812
266	294	809
267	295	806
268	295	803
269	296	800
270	296	797
271	296	794
272	297	791
273	297	789
274	298	786
275	298	783
276	299	780
277	299	778
278	300	775
279	300	773
280	301	770
281	301	767
282	302	765
283	302	762
284	303	760
285	303	758
286	304	755
287	304	753
288	305	751
289	305	748
290	306	746
291	306	744
292	307	741
293	307	739
294	308	737
295	309	735
296	309	732
297	310	730
298	310	728
299	311	725
300	311	723
301	312	721
302	312	718
303	312	716
304	313	714
305	313	711
306	314	709
307	314	707
308	315	705
309	315	703
310	316	701
311	317	699
312	317	696
313	317	694
314	318	692
315	318	689
316	319	687
317	319	685
318	320	683
319	320	681
320	321	679
321	321	676
322	321	674
323	322	672
324	322	670
325	323	668
326	323	666
327	324	664
328	324	662
329	325	659
330	325	657
331	325	655
332	326	653
333	326	651
334	327	649
335	327	647
336	328	645
337	328	643
338	329	641
339	329	639
340	329	637
341	330	635
342	330	633
343	331	631
344	331	629
345	332	628
346	332	626
347	333	624
348	333	622
349	334	621
350	334	619
351	335	617
352	335	615
353	336	613
354	336	611
355	337	609
356	337	608
357	338	606
358	338	604
359	339	602
360	339	600
361	339	599
362	340	597
363	340	595
364	341	593
365	341	591
366	342	590
367	342	588
368	343	586
369	343	584
370	343	583
371	344	581
372	344	579
373	345	578
374	345	576
375	346	574
376	346	572
377	347	571
378	347	569
379	348	568
380	348	566
381	349	564
382	349	563
383	349	561
384	350	559
385	350	558
386	351	556
387	351	554
388	352	553
389	352	551
390	353	549
391	353	548
392	353	546
393	354	545
394	354	543
395	355	541
396	355	540
397	356	538
398	356	537
399	357	535
400	357	533
401	357	532
402	358	531
403	359	529
404	359	528
405	360	526
406	360	525
407	361	523
408	361	522
409	361	520
410	362	519
411	362	517
412	363	516
413	363	514
414	364	513
415	364	512
416	365	510
417	365	509
418	366	508
419	366	506
420	367	505
421	367	503
422	368	502
423	368	501
424	369	499
425	369	498
426	370	497
427	371	495
428	371	494
429	372	493
430	372	491
431	373	490
432	373	489
433	374	487
434	374	486
435	375	485
436	375	484
437	376	482
438	376	481
439	377	480
440	377	478
441	378	477
442	378	476
443	379	474
444	379	473
445	380	472
446	380	470
447	381	469
448	381	468
449	382	467
450	382	465
451	383	464
452	383	463
453	383	461
454	384	460
455	384	459
456	385	457
457	385	456
458	386	455
459	386	454
460	387	452
461	387	451
462	388	450
463	388	449
464	389	447
465	389	446
466	390	445
467	390	444
468	391	442
469	391	441
470	392	440
471	392	439
472	393	438
473	393	437
474	394	436
475	394	434
476	395	433
477	395	432
478	396	431
479	396	430
480	397	429
481	398	427
482	398	426
483	399	425
484	399	424
485	400	423
486	400	422
487	401	420
488	401	419
489	402	418
490	402	417
491	403	416
492	403	415
493	404	413
494	404	412
495	404	411
496	405	410
497	406	409
498	406	408
499	407	407
500	407	405
501	407	404
502	408	403
503	408	402
504	409	401
505	410	400
506	410	399
507	410	397
508	411	396
509	411	395
510	412	394
511	412	393
512	413	392
513	413	391
514	414	390
515	414	389
516	415	388
517	415	386
518	416	385
519	416	384
520	417	383
521	417	382
522	418	381
523	418	380
524	419	379
525	419	378
526	420	377
527	420	376
528	421	374
529	421	373
530	422	372
531	422	371
532	423	370
533	423	369
534	424	368
535	424	367
536	424	366
537	425	365
538	425	364
539	426	363
540	426	362
541	427	361
542	427	360
543	428	359
544	429	358
